Protein	Description	Median expression level	IQR (Log2 FC)	Intra-ind  CV	Inter-ind CV	FDA drug target
ADAM23	ADAM metallopeptidase domain 23	8.011	0.069	0.021	0.051	no
SLAMF7	SLAM family member 7	7.197	0.069	0.028	0.055	yes
MASP1	mannan binding lectin serine peptidase 1	5.790	0.069	0.021	0.047	no
CRELD2	cysteine rich with EGF like domains 2	7.505	0.069	0.039	0.047	no
ACP5	acid phosphatase 5, tartrate resistant	6.513	0.069	0.028	0.049	no
DDC	dopa decarboxylase	9.526	0.069	0.029	0.051	yes
IGFBPL1	insulin like growth factor binding protein like 1	6.149	0.069	0.025	0.053	no
LILRB2	leukocyte immunoglobulin like receptor B2	6.578	0.069	0.025	0.057	no
FCRL2	Fc receptor like 2	8.213	0.069	0.017	0.055	no
OPTC	opticin	7.454	0.069	0.018	0.056	no
NRTN	neurturin	3.745	0.069	0.047	0.129	no
TMPRSS5	transmembrane serine protease 5	7.192	0.069	0.019	0.053	no
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	7.626	0.068	0.034	0.059	no
KLK13	kallikrein related peptidase 13	7.766	0.068	0.027	0.051	no
MYOC	myocilin	9.051	0.068	0.026	0.049	no
CR2	complement C3d receptor 2	8.715	0.068	0.020	0.053	no
IL33	interleukin 33	3.790	0.068	0.046	0.057	no
TNFRSF10A	TNF receptor superfamily member 10a	5.576	0.068	0.029	0.045	no
GDNF	glial cell derived neurotrophic factor	5.555	0.068	0.035	0.056	no
ARSA	arylsulfatase A	7.398	0.068	0.032	0.058	no
CST6	cystatin E/M	8.680	0.068	0.020	0.052	no
CXCL5	C-X-C motif chemokine ligand 5	15.439	0.068	0.032	0.053	no
ANGPTL7	angiopoietin like 7	4.441	0.067	0.040	0.047	no
IL12RB1	interleukin 12 receptor subunit beta 1	5.517	0.067	0.024	0.051	no
CTSF	cathepsin F	7.095	0.067	0.031	0.050	no
MFGE8	milk fat globule-EGF factor 8 protein	7.410	0.067	0.032	0.055	no
MEGF9	multiple EGF like domains 9	5.273	0.067	0.042	0.048	no
TFRC	transferrin receptor	8.863	0.067	0.030	0.050	no
ITGB6	integrin subunit beta 6	6.258	0.067	0.029	0.046	no
SLITRK2	SLIT and NTRK like family member 2	7.977	0.067	0.021	0.044	no
KYAT1	kynurenine aminotransferase 1	11.446	0.067	0.039	0.046	no
IL2	interleukin 2	3.502	0.066	0.047	0.052	no
FABP2	fatty acid binding protein 2	12.360	0.066	0.032	0.052	no
CCL3	C-C motif chemokine ligand 3	7.798	0.066	0.030	0.091	no
CNTN2	contactin 2	7.738	0.066	0.022	0.048	no
AREG	amphiregulin	5.624	0.066	0.034	0.065	no
CLEC1A	C-type lectin domain family 1 member A	5.847	0.066	0.030	0.049	no
ST6GAL1	ST6 beta-galactoside alpha-2,6-sialyltransferase 1	6.139	0.065	0.038	0.047	no
SOST	sclerostin	8.187	0.065	0.028	0.045	no
SMPD1	sphingomyelin phosphodiesterase 1	8.772	0.065	0.021	0.050	no
CCL4	C-C motif chemokine ligand 4	8.913	0.065	0.028	0.062	no
PDCD1	programmed cell death 1	3.621	0.065	0.036	0.056	yes
IL12B	interleukin 12B	8.887	0.065	0.020	0.057	yes
XCL1	X-C motif chemokine ligand 1	8.859	0.065	0.018	0.069	no
MCFD2	multiple coagulation factor deficiency 2	6.908	0.065	0.036	0.050	no
FGF5	fibroblast growth factor 5	4.096	0.065	0.034	0.130	no
RASSF2	Ras association domain family member 2	4.939	0.065	0.032	0.053	no
C1QTNF1	C1q and TNF related 1	6.527	0.065	0.038	0.050	no
LGALS3	galectin 3	6.380	0.065	0.029	0.048	no
ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	4.226	0.065	0.035	0.054	no
ITGA11	integrin subunit alpha 11	6.821	0.064	0.021	0.050	no
CD109	CD109 molecule	7.873	0.064	0.033	0.042	no
CLEC4C	C-type lectin domain family 4 member C	7.075	0.064	0.019	0.055	no
CFC1	cripto, FRL-1, cryptic family 1	4.049	0.063	0.034	0.062	no
CCL19	C-C motif chemokine ligand 19	11.681	0.063	0.023	0.063	no
GKN1	gastrokine 1	3.337	0.063	0.036	0.048	no
CCL8	C-C motif chemokine ligand 8	11.730	0.063	0.025	0.050	no
BCAN	brevican	9.556	0.063	0.017	0.042	no
COCH	cochlin	7.462	0.063	0.030	0.065	no
CTSO	cathepsin O	5.761	0.063	0.030	0.050	no
BCL2L11	BCL2 like 11	6.028	0.063	0.030	0.052	no
TNFRSF6B	TNF receptor superfamily member 6b	8.215	0.062	0.024	0.053	no
CHL1	cell adhesion molecule L1 like	6.582	0.062	0.027	0.044	no
CTSV	cathepsin V	8.109	0.062	0.025	0.050	no
ITGB7	integrin subunit beta 7	4.439	0.062	0.028	0.049	yes
PLXNB2	plexin B2	4.637	0.062	0.037	0.052	no
RET	ret proto-oncogene	8.865	0.062	0.019	0.045	yes
SIRPB1	signal regulatory protein beta 1	7.072	0.062	0.025	0.055	no
SPINT2	serine peptidase inhibitor, Kunitz type 2	5.864	0.062	0.041	0.054	no
RSPO1	R-spondin 1	6.830	0.062	0.021	0.045	no
ADAM22	ADAM metallopeptidase domain 22	7.421	0.062	0.021	0.047	no
CLEC10A	C-type lectin domain containing 10A	7.536	0.062	0.020	0.047	no
PTPRS	protein tyrosine phosphatase, receptor type S	4.050	0.062	0.037	0.052	no
SPON1	spondin 1	5.048	0.061	0.032	0.044	no
PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1	3.815	0.061	0.044	0.047	no
ADGRE2	adhesion G protein-coupled receptor E2	6.602	0.061	0.029	0.049	no
MB	myoglobin	10.863	0.061	0.024	0.047	no
CD160	CD160 molecule	9.027	0.061	0.017	0.046	no
LRP11	LDL receptor related protein 11	7.689	0.061	0.026	0.039	no
IL15RA	interleukin 15 receptor subunit alpha	4.789	0.061	0.032	0.045	no
MOG	myelin oligodendrocyte glycoprotein	7.050	0.061	0.025	0.046	no
GDF2	growth differentiation factor 2	11.449	0.061	0.016	0.045	no
ADGRG2	adhesion G protein-coupled receptor G2	6.749	0.061	0.029	0.041	no
COL4A1	collagen type IV alpha 1 chain	9.764	0.060	0.021	0.047	no
CDH2	cadherin 2	7.303	0.060	0.028	0.044	no
CXCL12	C-X-C motif chemokine ligand 12	4.387	0.060	0.034	0.045	no
DKK3	dickkopf WNT signaling pathway inhibitor 3	8.943	0.060	0.022	0.044	no
LYVE1	lymphatic vessel endothelial hyaluronan receptor 1	8.231	0.060	0.020	0.046	no
SIRT5	sirtuin 5	3.825	0.060	0.044	0.051	yes
CD38	CD38 molecule	7.831	0.060	0.022	0.046	no
TNFRSF4	TNF receptor superfamily member 4	7.590	0.060	0.023	0.046	no
ULBP2	UL16 binding protein 2	6.906	0.060	0.018	0.041	no
CDHR5	cadherin related family member 5	7.327	0.060	0.019	0.050	no
NOV	nephroblastoma overexpressed	6.853	0.060	0.029	0.044	no
ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	6.054	0.060	0.030	0.045	no
KLK14	kallikrein related peptidase 14	10.760	0.060	0.019	0.042	no
IL18	interleukin 18	11.245	0.060	0.017	0.044	no
CCL15	C-C motif chemokine ligand 15	9.823	0.060	0.026	0.049	no
ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	7.576	0.059	0.021	0.056	no
SPARCL1	SPARC like 1	5.571	0.059	0.030	0.044	no
TREML2	triggering receptor expressed on myeloid cells like 2	8.869	0.059	0.028	0.041	no
CLEC11A	C-type lectin domain containing 11A	8.633	0.059	0.022	0.046	no
NID1	nidogen 1	7.037	0.059	0.031	0.046	no
PILRA	paired immunoglobin like type 2 receptor alpha	7.478	0.059	0.025	0.047	no
ANGPTL1	angiopoietin like 1	6.260	0.059	0.026	0.043	no
PAM	peptidylglycine alpha-amidating monooxygenase	4.950	0.059	0.035	0.048	no
PLXDC1	plexin domain containing 1	3.972	0.059	0.037	0.049	no
RETN	resistin	8.934	0.059	0.024	0.051	no
CD209	CD209 molecule	9.984	0.059	0.016	0.046	no
TNFRSF11B	TNF receptor superfamily member 11b	6.822	0.059	0.026	0.047	no
GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	4.643	0.059	0.032	0.041	no
HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1	6.170	0.059	0.029	0.043	no
IL1RL2	interleukin 1 receptor like 2	8.122	0.058	0.020	0.046	no
KIT	KIT proto-oncogene receptor tyrosine kinase	7.553	0.058	0.025	0.043	yes
VASN	vasorin	5.673	0.058	0.029	0.044	no
BAMBI	BMP and activin membrane bound inhibitor	4.532	0.058	0.027	0.051	no
NINJ1	ninjurin 1	5.117	0.058	0.027	0.072	no
CD83	CD83 molecule	6.423	0.058	0.025	0.046	no
QPCT	glutaminyl-peptide cyclotransferase	5.682	0.058	0.033	0.057	no
NPTXR	neuronal pentraxin receptor	7.232	0.058	0.023	0.053	no
CCDC80	coiled-coil domain containing 80	9.535	0.058	0.025	0.040	no
TNXB	tenascin XB	4.399	0.058	0.035	0.044	no
XPNPEP2	X-prolyl aminopeptidase 2	12.826	0.058	0.008	0.050	no
STC1	stanniocalcin 1	9.093	0.058	0.025	0.040	no
LILRA5	leukocyte immunoglobulin like receptor A5	8.121	0.058	0.021	0.041	no
GDF15	growth differentiation factor 15	8.373	0.057	0.023	0.039	no
IGLC2	NA	9.193	0.057	0.019	0.042	no
CXCL17	C-X-C motif chemokine ligand 17	8.189	0.057	0.021	0.044	no
CTSZ	cathepsin Z	8.291	0.057	0.023	0.042	no
S100P	S100 calcium binding protein P	4.201	0.057	0.032	0.053	no
ICAM2	intercellular adhesion molecule 2	8.404	0.057	0.025	0.040	no
LY75	lymphocyte antigen 75	5.962	0.057	0.023	0.041	no
CXCL10	C-X-C motif chemokine ligand 10	12.552	0.057	0.027	0.065	no
DSC2	desmocollin 2	7.818	0.057	0.023	0.040	no
CD84	CD84 molecule	10.276	0.057	0.030	0.040	no
AOC3	amine oxidase, copper containing 3	6.868	0.057	0.023	0.039	yes
PDCD1LG2	programmed cell death 1 ligand 2	6.599	0.057	0.021	0.042	no
RSPO3	R-spondin 3	7.834	0.056	0.022	0.061	no
CLEC4G	C-type lectin domain family 4 member G	6.391	0.056	0.024	0.049	no
TCN2	transcobalamin 2	6.416	0.056	0.024	0.046	no
CLSTN3	calsyntenin 3	4.429	0.056	0.032	0.049	no
HAVCR2	hepatitis A virus cellular receptor 2	6.774	0.056	0.025	0.048	no
MMP10	matrix metallopeptidase 10	11.512	0.056	0.023	0.048	yes
FAM3B	family with sequence similarity 3 member B	7.999	0.056	0.022	0.043	no
PCDH17	protocadherin 17	8.672	0.056	0.021	0.041	no
KYNU	kynureninase	10.775	0.056	0.023	0.043	no
REG4	regenerating family member 4	12.146	0.056	0.020	0.039	no
IGFBP6	insulin like growth factor binding protein 6	7.388	0.056	0.025	0.040	no
GZMA	granzyme A	7.953	0.056	0.021	0.044	no
NCAM1	neural cell adhesion molecule 1	6.610	0.055	0.026	0.041	no
IGFBP3	insulin like growth factor binding protein 3	8.038	0.055	0.020	0.037	no
EFEMP1	EGF containing fibulin extracellular matrix protein 1	7.113	0.055	0.026	0.044	no
CNTN5	contactin 5	10.480	0.055	0.012	0.040	no
LRIG1	leucine rich repeats and immunoglobulin like domains 1	7.198	0.055	0.023	0.041	no
OLR1	oxidized low density lipoprotein receptor 1	9.578	0.055	0.026	0.039	no
NOMO1	NODAL modulator 1	8.468	0.055	0.027	0.040	no
VCAN	versican	7.765	0.055	0.020	0.039	no
HAVCR1	hepatitis A virus cellular receptor 1	11.888	0.055	0.017	0.047	no
CLSTN2	calsyntenin 2	7.800	0.054	0.023	0.050	no
SLITRK6	SLIT and NTRK like family member 6	4.126	0.054	0.036	0.043	no
SEZ6L	seizure related 6 homolog like	7.487	0.054	0.017	0.038	no
IL16	interleukin 16	9.844	0.054	0.021	0.045	no
ICAM3	intercellular adhesion molecule 3	6.231	0.054	0.030	0.039	no
CTRC	chymotrypsin C	14.368	0.054	0.017	0.040	no
PCOLCE	procollagen C-endopeptidase enhancer	8.954	0.053	0.022	0.037	no
COL18A1	collagen type XVIII alpha 1 chain	6.222	0.053	0.028	0.037	no
TFF3	trefoil factor 3	8.005	0.053	0.022	0.039	no
IFNLR1	interferon lambda receptor 1	5.724	0.053	0.023	0.069	no
PDGFRB	platelet derived growth factor receptor beta	9.053	0.053	0.016	0.037	yes
LAG3	lymphocyte activating 3	6.378	0.053	0.022	0.053	no
ENG	endoglin	4.958	0.053	0.032	0.037	no
PPM1B	protein phosphatase, Mg2+/Mn2+ dependent 1B	4.382	0.053	0.032	0.146	no
WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2	8.395	0.053	0.019	0.037	no
TNFRSF19	TNF receptor superfamily member 19	7.427	0.052	0.024	0.037	no
EDIL3	EGF like repeats and discoidin domains 3	4.529	0.052	0.028	0.040	no
EDA2R	ectodysplasin A2 receptor	7.816	0.052	0.016	0.045	no
CDNF	cerebral dopamine neurotrophic factor	4.242	0.052	0.033	0.041	no
WNT9A	Wnt family member 9A	5.684	0.052	0.025	0.044	no
RELT	RELT, TNF receptor	7.776	0.052	0.025	0.038	no
PAMR1	peptidase domain containing associated with muscle regeneration 1	8.935	0.052	0.020	0.035	no
PGLYRP1	peptidoglycan recognition protein 1	10.026	0.052	0.024	0.037	no
CPE	carboxypeptidase E	8.687	0.052	0.019	0.041	no
CLEC4A	C-type lectin domain family 4 member A	7.645	0.052	0.020	0.041	no
CD5	CD5 molecule	8.073	0.052	0.018	0.038	no
SIGLEC6	sialic acid binding Ig like lectin 6	7.690	0.051	0.018	0.056	no
PDGFC	platelet derived growth factor C	6.784	0.051	0.020	0.040	no
TGFA	transforming growth factor alpha	5.728	0.051	0.026	0.039	no
NT5E	5'-nucleotidase ecto	13.054	0.051	0.019	0.042	no
LTA	lymphotoxin alpha	7.821	0.051	0.019	0.055	no
CCL14	C-C motif chemokine ligand 14	7.904	0.051	0.023	0.040	no
SIGLEC1	sialic acid binding Ig like lectin 1	8.574	0.051	0.017	0.041	no
OSMR	oncostatin M receptor	5.297	0.051	0.028	0.041	no
SIGLEC7	sialic acid binding Ig like lectin 7	6.872	0.051	0.021	0.037	no
THPO	thrombopoietin	7.526	0.051	0.027	0.035	no
REG1A	regenerating family member 1 alpha	9.809	0.050	0.022	0.049	no
PROC	protein C, inactivator of coagulation factors Va and VIIIa	7.807	0.050	0.026	0.034	yes
GAS6	growth arrest specific 6	7.489	0.050	0.025	0.038	no
PTPRF	protein tyrosine phosphatase, receptor type F	8.139	0.050	0.024	0.035	no
CDH1	cadherin 1	8.012	0.050	0.025	0.041	no
MET	MET proto-oncogene, receptor tyrosine kinase	5.779	0.050	0.029	0.036	yes
NECTIN4	nectin cell adhesion molecule 4	9.067	0.050	0.016	0.034	no
CNTN1	contactin 1	7.977	0.050	0.025	0.036	no
SDC1	syndecan 1	10.543	0.050	0.018	0.036	no
BTN3A2	butyrophilin subfamily 3 member A2	6.741	0.049	0.024	0.041	no
CD58	CD58 molecule	6.716	0.049	0.027	0.032	no
TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1	5.196	0.049	0.023	0.037	no
DPP4	dipeptidyl peptidase 4	8.831	0.049	0.018	0.034	yes
SEMA3F	semaphorin 3F	6.438	0.049	0.024	0.037	no
LAYN	layilin	8.587	0.049	0.019	0.036	no
MDK	midkine	9.850	0.049	0.027	0.039	no
CDH3	cadherin 3	8.780	0.049	0.014	0.035	no
PLAU	plasminogen activator, urokinase	7.902	0.049	0.024	0.051	yes
TNFRSF12A	TNF receptor superfamily member 12A	9.541	0.049	0.027	0.037	no
CCL2	C-C motif chemokine ligand 2	7.028	0.049	0.027	0.046	yes
SPINT1	serine peptidase inhibitor, Kunitz type 1	5.645	0.049	0.027	0.034	no
CD59	CD59 molecule (CD59 blood group)	5.590	0.049	0.027	0.040	no
SCARF1	scavenger receptor class F member 1	11.574	0.049	0.026	0.038	no
TNFRSF11A	TNF receptor superfamily member 11a	9.630	0.048	0.020	0.033	no
SERPINA7	serpin family A member 7	7.856	0.048	0.023	0.036	no
IL18R1	interleukin 18 receptor 1	11.581	0.048	0.016	0.033	no
DCBLD2	discoidin, CUB and LCCL domain containing 2	7.648	0.048	0.022	0.037	no
LGMN	legumain	8.155	0.048	0.019	0.035	no
SCARB2	scavenger receptor class B member 2	7.066	0.048	0.019	0.034	no
TPP1	tripeptidyl peptidase 1	8.243	0.048	0.025	0.040	no
ATP6AP2	ATPase H+ transporting accessory protein 2	4.426	0.048	0.029	0.038	no
VSIG4	V-set and immunoglobulin domain containing 4	9.478	0.047	0.017	0.038	no
AGER	advanced glycosylation end-product specific receptor	8.941	0.047	0.015	0.033	no
SPOCK1	SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1	6.657	0.047	0.020	0.037	no
ESAM	endothelial cell adhesion molecule	7.905	0.047	0.027	0.038	no
CD163	CD163 molecule	11.103	0.047	0.021	0.036	no
EPHA2	EPH receptor A2	6.413	0.047	0.024	0.035	yes
WIF1	WNT inhibitory factor 1	9.244	0.047	0.020	0.036	no
SIGLEC10	sialic acid binding Ig like lectin 10	7.352	0.047	0.016	0.037	no
CD1C	CD1c molecule	9.084	0.047	0.017	0.035	no
CPA2	carboxypeptidase A2	13.261	0.047	0.016	0.037	no
CXCL1	C-X-C motif chemokine ligand 1	13.502	0.047	0.022	0.045	no
CD200	CD200 molecule	8.720	0.046	0.016	0.035	no
CXCL13	C-X-C motif chemokine ligand 13	10.682	0.046	0.019	0.035	no
EBI3	Epstein-Barr virus induced 3	9.280	0.046	0.013	0.036	no
CRHBP	corticotropin releasing hormone binding protein	7.878	0.046	0.021	0.037	no
TFPI2	tissue factor pathway inhibitor 2	11.810	0.046	0.018	0.033	no
IL17D	interleukin 17D	6.482	0.046	0.025	0.040	no
EPHB6	EPH receptor B6	7.623	0.046	0.019	0.035	no
ACAN	aggrecan	6.766	0.046	0.020	0.035	no
MRC2	mannose receptor C type 2	5.228	0.046	0.023	0.033	no
MATN2	matrilin 2	9.373	0.046	0.018	0.037	no
ROBO1	roundabout guidance receptor 1	7.073	0.046	0.025	0.031	no
WISP1	WNT1 inducible signaling pathway protein 1	9.623	0.046	0.020	0.037	no
HS6ST1	heparan sulfate 6-O-sulfotransferase 1	7.517	0.046	0.022	0.046	no
GPC1	glypican 1	9.012	0.045	0.019	0.033	no
CCL23	C-C motif chemokine ligand 23	13.046	0.045	0.019	0.033	no
GFRA3	GDNF family receptor alpha 3	7.250	0.045	0.017	0.039	no
CD28	CD28 molecule	4.409	0.045	0.023	0.053	no
ADGRE5	adhesion G protein-coupled receptor E5	9.168	0.045	0.019	0.034	no
IGSF3	immunoglobulin superfamily member 3	7.124	0.045	0.019	0.045	no
SMOC2	SPARC related modular calcium binding 2	11.583	0.045	0.016	0.032	no
EGFL7	EGF like domain multiple 7	8.093	0.045	0.019	0.037	no
PRSS27	serine protease 27	12.785	0.045	0.014	0.030	no
IL18BP	interleukin 18 binding protein	9.415	0.045	0.021	0.032	no
EFNA4	ephrin A4	6.124	0.045	0.022	0.034	no
SELE	selectin E	15.075	0.045	0.015	0.032	no
CLEC5A	C-type lectin domain containing 5A	7.775	0.044	0.019	0.032	no
F7	coagulation factor VII	8.243	0.044	0.022	0.035	yes
TGM2	transglutaminase 2	12.387	0.044	0.028	0.035	no
CX3CL1	C-X3-C motif chemokine ligand 1	9.199	0.044	0.018	0.036	no
CCL13	C-C motif chemokine ligand 13	16.764	0.044	0.020	0.031	no
CCL11	C-C motif chemokine ligand 11	10.951	0.044	0.016	0.030	no
MSR1	macrophage scavenger receptor 1	9.182	0.044	0.015	0.035	no
PODXL2	podocalyxin like 2	9.877	0.044	0.013	0.036	no
LAMA4	laminin subunit alpha 4	7.556	0.044	0.025	0.035	no
PLAUR	plasminogen activator, urokinase receptor	8.189	0.043	0.022	0.033	yes
TACSTD2	tumor associated calcium signal transducer 2	8.065	0.043	0.015	0.033	no
TNFRSF1B	TNF receptor superfamily member 1B	9.033	0.043	0.021	0.035	no
FASLG	Fas ligand	12.601	0.043	0.012	0.031	no
MERTK	MER proto-oncogene, tyrosine kinase	10.096	0.043	0.015	0.029	no
NECTIN2	nectin cell adhesion molecule 2	9.507	0.043	0.020	0.030	no
ANPEP	alanyl aminopeptidase, membrane	8.326	0.043	0.021	0.032	no
ITGA5	integrin subunit alpha 5	7.733	0.043	0.020	0.032	no
LRP1	LDL receptor related protein 1	6.698	0.042	0.020	0.041	no
KLK11	kallikrein related peptidase 11	10.445	0.042	0.015	0.033	no
PDGFRA	platelet derived growth factor receptor alpha	8.079	0.042	0.015	0.034	yes
CA12	carbonic anhydrase 12	6.975	0.042	0.018	0.049	yes
LPL	lipoprotein lipase	13.855	0.042	0.013	0.028	yes
FAM3C	family with sequence similarity 3 member C	9.645	0.042	0.021	0.032	no
COLEC12	collectin subfamily member 12	9.358	0.042	0.020	0.031	no
NOTCH1	notch 1	5.779	0.042	0.024	0.029	no
BCAM	basal cell adhesion molecule (Lutheran blood group)	7.920	0.042	0.020	0.031	no
ADM	adrenomedullin	11.320	0.042	0.018	0.031	no
TNFRSF9	TNF receptor superfamily member 9	10.342	0.042	0.016	0.034	no
FAS	Fas cell surface death receptor	8.728	0.042	0.023	0.034	no
IL1R2	interleukin 1 receptor type 2	9.116	0.042	0.021	0.031	no
ROBO2	roundabout guidance receptor 2	9.550	0.041	0.016	0.032	no
ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative)	6.060	0.041	0.017	0.039	no
B4GAT1	beta-1,4-glucuronyltransferase 1	8.710	0.041	0.017	0.029	no
ADAM8	ADAM metallopeptidase domain 8	7.173	0.041	0.019	0.034	no
TNFRSF1A	TNF receptor superfamily member 1A	9.651	0.041	0.021	0.029	yes
S100A11	S100 calcium binding protein A11	6.413	0.041	0.022	0.031	no
LYPD3	LY6/PLAUR domain containing 3	8.293	0.041	0.017	0.032	no
CLEC14A	C-type lectin domain containing 14A	9.161	0.041	0.021	0.029	no
COMP	cartilage oligomeric matrix protein	10.769	0.041	0.019	0.033	no
KLK8	kallikrein related peptidase 8	10.907	0.041	0.019	0.031	no
CNTN4	contactin 4	8.899	0.041	0.016	0.031	no
LY9	lymphocyte antigen 9	9.233	0.041	0.015	0.030	no
ESM1	endothelial cell specific molecule 1	13.418	0.040	0.011	0.028	no
FOLR1	folate receptor 1	10.786	0.040	0.016	0.029	no
TINAGL1	tubulointerstitial nephritis antigen like 1	7.135	0.040	0.019	0.027	no
LRPAP1	LDL receptor related protein associated protein 1	11.431	0.040	0.021	0.037	no
LIFR	LIF receptor alpha	7.173	0.040	0.021	0.026	no
FURIN	furin, paired basic amino acid cleaving enzyme	12.968	0.040	0.015	0.032	no
TFPI	tissue factor pathway inhibitor	12.379	0.039	0.018	0.025	yes
SEMA7A	semaphorin 7A (John Milton Hagen blood group)	9.449	0.039	0.015	0.025	no
PEAR1	platelet endothelial aggregation receptor 1	9.712	0.039	0.023	0.029	no
CD99L2	CD99 molecule like 2	8.469	0.039	0.020	0.025	no
METRNL	meteorin like, glial cell differentiation regulator	7.929	0.039	0.019	0.027	no
VEGFD	vascular endothelial growth factor D	12.348	0.039	0.011	0.033	no
NPDC1	neural proliferation, differentiation and control 1	9.245	0.039	0.022	0.028	no
CTSL	cathepsin L	10.646	0.039	0.016	0.028	no
CKAP4	cytoskeleton associated protein 4	7.882	0.039	0.020	0.027	no
ICAM1	intercellular adhesion molecule 1	9.897	0.039	0.019	0.029	yes
FLT3LG	fms related tyrosine kinase 3 ligand	12.580	0.038	0.015	0.025	no
TGFBI	transforming growth factor beta induced	11.291	0.038	0.018	0.027	no
CFHR5	complement factor H related 5	11.301	0.038	0.017	0.033	no
FGFBP1	fibroblast growth factor binding protein 1	9.175	0.038	0.014	0.041	no
TNFRSF10B	TNF receptor superfamily member 10b	8.619	0.038	0.017	0.025	no
SCARF2	scavenger receptor class F member 2	9.748	0.038	0.013	0.028	no
CST3	cystatin C	10.157	0.038	0.021	0.029	no
PREB	prolactin regulatory element binding	5.201	0.038	0.022	0.045	no
NCAN	neurocan	11.129	0.038	0.013	0.027	no
TGFBR2	transforming growth factor beta receptor 2	10.279	0.038	0.015	0.027	no
RARRES1	retinoic acid receptor responder 1	5.569	0.038	0.021	0.059	no
CD200R1	CD200 receptor 1	7.950	0.037	0.015	0.037	no
CDON	cell adhesion associated, oncogene regulated	7.818	0.037	0.023	0.029	no
UNC5C	unc-5 netrin receptor C	8.799	0.037	0.018	0.032	no
C2	complement C2	8.655	0.037	0.019	0.038	no
CD48	CD48 molecule	9.742	0.037	0.014	0.028	no
IGF1R	insulin like growth factor 1 receptor	7.279	0.037	0.020	0.031	yes
THOP1	thimet oligopeptidase 1	8.888	0.037	0.019	0.031	no
CANT1	calcium activated nucleotidase 1	8.606	0.036	0.018	0.023	no
PODXL	podocalyxin like	6.885	0.036	0.013	0.025	no
SIGLEC9	sialic acid binding Ig like lectin 9	8.577	0.036	0.011	0.031	no
HGF	hepatocyte growth factor	10.308	0.036	0.016	0.028	no
APOM	apolipoprotein M	10.622	0.036	0.016	0.024	no
PRSS8	serine protease 8	12.896	0.036	0.013	0.025	no
ANG	angiogenin	10.852	0.036	0.019	0.039	no
IL10RB	interleukin 10 receptor subunit beta	8.922	0.035	0.014	0.026	no
MMP7	matrix metallopeptidase 7	13.055	0.035	0.011	0.029	yes
GFRA1	GDNF family receptor alpha 1	10.117	0.035	0.014	0.026	no
RGMB	repulsive guidance molecule BMP co-receptor b	10.137	0.035	0.013	0.026	no
VEGFA	vascular endothelial growth factor A	13.167	0.034	0.016	0.025	yes
RGMA	repulsive guidance molecule BMP co-receptor a	11.412	0.034	0.012	0.025	no
TNFRSF13B	TNF receptor superfamily member 13B	12.745	0.034	0.011	0.026	no
ERBB4	erb-b2 receptor tyrosine kinase 4	9.017	0.034	0.012	0.025	yes
CD4	CD4 molecule	8.634	0.034	0.018	0.026	yes
NRP2	neuropilin 2	8.379	0.034	0.017	0.025	no
DCN	decorin	8.891	0.034	0.015	0.025	no
EPHB4	EPH receptor B4	8.757	0.034	0.018	0.027	no
CDH6	cadherin 6	7.638	0.034	0.013	0.028	no
IGF2R	insulin like growth factor 2 receptor	10.808	0.033	0.016	0.031	no
BOC	BOC cell adhesion associated, oncogene regulated	8.484	0.033	0.017	0.024	no
FST	follistatin	14.811	0.033	0.018	0.026	no
HMOX1	heme oxygenase 1	15.475	0.033	0.010	0.024	no
AXL	AXL receptor tyrosine kinase	12.290	0.033	0.014	0.023	no
AMIGO2	adhesion molecule with Ig like domain 2	7.816	0.033	0.015	0.024	no
TIMP1	TIMP metallopeptidase inhibitor 1	8.979	0.033	0.018	0.026	no
F3	coagulation factor III, tissue factor	10.556	0.032	0.012	0.027	yes
CD300C	CD300c molecule	9.046	0.032	0.010	0.028	no
SELL	selectin L	10.803	0.032	0.015	0.023	no
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	8.180	0.032	0.014	0.027	no
SERPINA5	serpin family A member 5	11.464	0.031	0.016	0.024	no
PRTG	protogenin	9.731	0.031	0.014	0.026	no
F11	coagulation factor XI	10.777	0.031	0.014	0.024	yes
FOLR3	folate receptor 3	10.136	0.031	0.011	0.142	no
CD27	CD27 molecule	12.450	0.030	0.009	0.023	no
ICOSLG	inducible T cell costimulator ligand	9.590	0.030	0.015	0.024	no
KITLG	KIT ligand	12.904	0.030	0.010	0.021	no
ITGB1	integrin subunit beta 1	11.248	0.029	0.018	0.021	yes
EZR	ezrin	8.956	0.029	0.014	0.022	no
PVR	poliovirus receptor	10.840	0.029	0.010	0.022	no
IFNGR1	interferon gamma receptor 1	8.927	0.028	0.012	0.023	yes
